gene_id,WTCMA,WTCMB,WTCMC,WTCM1,WTCM2,WTCM3,WTMA,WTMC,WTM1,WTM2,WTM3,KOCMA,KOCMB,KOCMC,KOCM1,KOCM2,KOCM3,KOMA,KOMB,KOM1,KOM2
VNG_RS02220,490,725,644,146,289,199,511,332,312,131,811,674,529,1574,164,173,120,1038,393,691,65
VNG_RS02225,897,1262,1141,220,370,260,917,660,499,263,1122,1193,985,2696,259,288,172,1861,576,1042,88
VNG_RS02230,309,430,488,121,232,141,309,247,237,154,695,476,380,725,162,171,84,680,253,688,51
VNG_RS02235,197,287,252,59,136,50,152,145,138,72,319,297,222,671,64,75,44,518,171,256,34
VNG_RS02240,3970,5386,6142,883,1652,1440,4037,3002,1969,1001,5764,5544,4515,9461,916,1274,790,8096,2676,5634,376
VNG_RS02250,369,737,552,75,131,205,996,557,466,157,1905,489,502,1185,80,130,80,1883,533,1221,66
VNG_RS02255,4644,5380,6260,605,921,790,3897,3055,1021,605,4274,6266,3707,10461,437,658,545,8548,2521,2766,241
VNG_RS02260,1072,1164,1298,327,395,286,1172,939,602,332,1719,1438,819,2034,252,312,214,2305,775,1504,113
VNG_RS02265,2451,3777,3942,555,970,1093,3002,1985,1636,731,5228,3454,3083,6539,695,922,591,5355,1603,4183,283
VNG_RS02270,607,1021,857,132,196,244,420,342,240,147,928,821,636,1627,124,163,123,1346,347,881,55
VNG_RS02275,3533,3955,4855,962,1214,1206,3754,3075,1769,848,7037,5378,2388,5532,768,1071,785,8223,2500,5032,478
VNG_RS02280,2457,2619,3057,417,485,479,2866,1996,786,285,3129,2924,1828,4543,260,224,198,6362,1788,1649,203
VNG_RS02285,492,425,477,73,103,104,384,305,119,67,555,443,321,1130,82,97,104,849,295,385,34
VNG_RS02290,5992,8555,7772,1504,2767,2579,5437,3574,3393,1536,9368,8109,6771,16037,1706,2234,1482,10362,3622,7599,618
VNG_RS02295,4953,6656,6169,1283,2279,2003,4779,3308,2945,1173,8571,6691,5435,11616,1340,1756,1167,8639,2899,5901,516
VNG_RS02300,8928,10258,12604,1800,2714,2495,8255,5904,3472,1451,10506,12172,9110,18519,1831,2209,1625,13792,4827,7279,796
VNG_RS02305,2382,2747,2534,549,831,744,2066,1455,1118,445,3233,2588,2125,5677,516,625,398,4167,1737,2199,226
VNG_RS02310,7243,9374,11340,1585,2106,2183,7734,5468,2987,1427,10176,10441,7463,17172,1463,1947,1511,14877,4275,6847,761
